trade_no,entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,result,risk_pts,critical,month
1,2025-01-01 01:20:00,2025-01-01 01:30:00,SELL,93833.5,93933.5,93633.5,93933.5,-100.0,SL,100.0,False,2025-01
2,2025-01-01 03:40:00,2025-01-01 03:45:00,BUY,93834.5,93734.5,94034.5,93734.5,-100.0,SL,100.0,False,2025-01
3,2025-01-01 04:00:00,2025-01-01 04:55:00,SELL,93758.5,93858.5,93558.5,93558.5,200.0,TP,100.0,False,2025-01
4,2025-01-01 08:20:00,2025-01-01 08:25:00,SELL,93643.5,93743.5,93443.5,93443.5,200.0,TP,100.0,False,2025-01
5,2025-01-01 08:45:00,2025-01-01 08:50:00,SELL,93363.5,93463.5,93163.5,93463.5,-100.0,SL,100.0,False,2025-01
6,2025-01-01 12:20:00,2025-01-01 12:25:00,BUY,93687.5,93587.5,93887.5,93887.5,200.0,TP,100.0,False,2025-01
7,2025-01-01 13:05:00,2025-01-01 13:25:00,SELL,93656.5,93756.5,93456.5,93756.5,-100.0,SL,100.0,False,2025-01
8,2025-01-01 16:30:00,2025-01-01 16:35:00,SELL,94054.5,94154.5,93854.5,94154.5,-100.0,SL,100.0,False,2025-01
9,2025-01-01 19:30:00,2025-01-01 19:35:00,SELL,94142.0,94242.0,93942.0,94242.0,-100.0,SL,100.0,False,2025-01
10,2025-01-01 20:45:00,2025-01-01 21:05:00,BUY,94831.5,94731.5,95031.5,94731.5,-100.0,SL,100.0,False,2025-01
11,2025-01-01 22:05:00,2025-01-01 22:40:00,SELL,94759.0,94859.0,94559.0,94859.0,-100.0,SL,100.0,False,2025-01
12,2025-01-02 00:25:00,2025-01-02 00:30:00,BUY,94913.5,94813.5,95113.5,94813.5,-100.0,SL,100.0,True,2025-01
13,2025-01-02 03:05:00,2025-01-02 03:15:00,SELL,95007.5,95107.5,94807.5,95107.5,-100.0,SL,100.0,False,2025-01
14,2025-01-02 08:00:00,2025-01-02 08:20:00,BUY,95872.5,95772.5,96072.5,95772.5,-100.0,SL,100.0,False,2025-01
15,2025-01-02 09:50:00,2025-01-02 09:55:00,BUY,96487.5,96387.5,96687.5,96687.5,200.0,TP,100.0,False,2025-01
16,2025-01-02 11:05:00,2025-01-02 11:15:00,BUY,96747.5,96647.5,96947.5,96647.5,-100.0,SL,100.0,False,2025-01
17,2025-01-02 13:15:00,2025-01-02 13:25:00,SELL,96651.0,96751.0,96451.0,96751.0,-100.0,SL,100.0,False,2025-01
18,2025-01-02 14:30:00,2025-01-02 14:35:00,BUY,96623.0,96523.0,96823.0,96523.0,-100.0,SL,100.0,False,2025-01
19,2025-01-02 16:10:00,2025-01-02 16:15:00,BUY,96570.5,96470.5,96770.5,96770.5,200.0,TP,100.0,False,2025-01
20,2025-01-02 18:30:00,2025-01-02 18:35:00,SELL,96699.0,96799.0,96499.0,96799.0,-100.0,SL,100.0,False,2025-01
21,2025-01-02 20:30:00,2025-01-02 20:35:00,SELL,97541.0,97641.0,97341.0,97341.0,200.0,TP,100.0,False,2025-01
22,2025-01-02 21:40:00,2025-01-02 21:45:00,BUY,97239.0,97139.0,97439.0,97139.0,-100.0,SL,100.0,False,2025-01
23,2025-01-03 01:50:00,2025-01-03 02:10:00,BUY,96877.0,96777.0,97077.0,97077.0,200.0,TP,100.0,False,2025-01
24,2025-01-03 03:50:00,2025-01-03 04:00:00,BUY,96994.0,96894.0,97194.0,96894.0,-100.0,SL,100.0,False,2025-01
25,2025-01-03 06:20:00,2025-01-03 07:05:00,SELL,96668.0,96768.0,96468.0,96468.0,200.0,TP,100.0,False,2025-01
26,2025-01-03 08:05:00,2025-01-03 08:30:00,BUY,96381.0,96281.0,96581.0,96281.0,-100.0,SL,100.0,False,2025-01
